datetime,open,high,low,close,volume
2025-04-29 15:10:00,211.355,211.36,211.22,211.267,45006.0
2025-04-29 15:11:00,211.28,211.34,211.03,211.0545,57183.0
2025-04-29 15:12:00,211.06,211.17,210.99,211.15,57170.0
2025-04-29 15:13:00,211.1204,211.1972,210.93,210.95,39156.0
2025-04-29 15:14:00,210.95,211.1399,210.93,211.1282,44307.0
2025-04-29 15:15:00,211.12,211.23,211.07,211.084,51706.0
2025-04-29 15:16:00,211.0741,211.17,211.06,211.09,36166.0
2025-04-29 15:17:00,211.095,211.1118,210.91,210.92,35270.0
2025-04-29 15:18:00,210.9127,210.93,210.7101,210.78,55755.0
2025-04-29 15:19:00,210.78,210.88,210.76,210.77,36539.0
2025-04-29 15:20:00,210.78,211.01,210.78,210.9991,46974.0
2025-04-29 15:21:00,211.0,211.08,210.81,210.82,42874.0
2025-04-29 15:22:00,210.83,210.98,210.67,210.72,53349.0
2025-04-29 15:23:00,210.72,210.895,210.7,210.8,53688.0
2025-04-29 15:24:00,210.8,210.84,210.67,210.69,42876.0
2025-04-29 15:25:00,210.7,210.85,210.6935,210.78,39659.0
2025-04-29 15:26:00,210.79,210.94,210.78,210.92,41639.0
2025-04-29 15:27:00,210.91,211.07,210.91,210.99,72695.0
2025-04-29 15:28:00,211.005,211.13,211.005,211.1299,66705.0
2025-04-29 15:29:00,211.115,211.18,211.0302,211.04,59016.0
2025-04-29 15:30:00,211.04,211.14,210.64,210.77,87474.0
2025-04-29 15:31:00,210.75,210.7927,210.61,210.69,61257.0
2025-04-29 15:32:00,210.68,210.76,210.57,210.615,56095.0
2025-04-29 15:33:00,210.61,210.6512,210.45,210.4996,59615.0
2025-04-29 15:34:00,210.49,210.64,210.4,210.64,459157.0
2025-04-29 15:35:00,210.63,210.6463,210.45,210.55,54177.0
2025-04-29 15:36:00,210.575,210.8239,210.575,210.81,31151.0
2025-04-29 15:37:00,210.8,210.965,210.8,210.86,52896.0
2025-04-29 15:38:00,210.87,210.945,210.78,210.81,38902.0
2025-04-29 15:39:00,210.82,210.87,210.74,210.7964,33703.0
2025-04-29 15:40:00,210.82,210.92,210.76,210.9,29965.0
2025-04-29 15:41:00,210.88,211.0697,210.88,210.92,41995.0
2025-04-29 15:42:00,210.97,211.07,210.9679,211.0615,24524.0
2025-04-29 15:43:00,211.0699,211.14,210.97,211.0277,34661.0
2025-04-29 15:44:00,211.05,211.171,211.03,211.16,24377.0
2025-04-29 15:45:00,211.15,211.21,211.05,211.05,35226.0
